site	month	year	mnthyr	people	boats	pets	people_WF	boats_WF	pets_WF	Sum_WF	index_1	index_2	abund
S3	may	A2	may-22	1	0	0	1	0	0	1	0.004464286	0.004464286	3
S4	may	A2	may-22	0	0	0	0	0	0	0	0	0	3
S5	may	A2	may-22	2	2	0	1	1	0	2	0.008928571	0.017857143	2
S6	may	A2	may-22	0	0	0	0	0	0	0	0	0	3
S1	jun	A2	jun-22	0	0	0	0	0	0	0	0	0	5
S2	jun	A2	jun-22	0	0	0	0	0	0	0	0	0	1
S3	jun	A2	jun-22	3	1	0	1	1	0	2	0.008928571	0.017857143	1
S4	jun	A2	jun-22	0	1	0	0	1	0	1	0.004464286	0.004464286	4
S5	jun	A2	jun-22	1	0	0	1	0	0	1	0.004464286	0.004464286	1
S6	jun	A2	jun-22	7	0	0	3	0	0	3	0.013392857	0.09375	3
S1	jul	A2	jul-22	0	0	0	0	0	0	0	0	0	3
S2	jul	A2	jul-22	0	0	0	0	0	0	0	0	0	3
S3	jul	A2	jul-22	1	0	0	1	0	0	1	0.004464286	0.004464286	1
S4	jul	A2	jul-22	4	0	0	2	0	0	2	0.008928571	0.035714286	4
S5	jul	A2	jul-22	2	0	0	1	0	0	1	0.004464286	0.008928571	2
S6	jul	A2	jul-22	4	0	0	2	0	0	2	0.008928571	0.035714286	3
S1	aug	A2	ago-22	2	0	0	1	0	0	1	0.004464286	0.008928571	0
S2	aug	A2	ago-22	0	0	0	0	0	0	0	0	0	5
S3	aug	A2	ago-22	3	1	0	1	1	0	2	0.008928571	0.017857143	0
S4	aug	A2	ago-22	9	1	0	3	1	0	4	0.017857143	0.125	1
S5	aug	A2	ago-22	6	0	0	2	0	0	2	0.008928571	0.053571429	1
S6	aug	A2	ago-22	0	0	0	0	0	0	0	0	0	2
S1	sep	A2	sept-22	0	0	0	0	0	0	0	0	0	1
S2	sep	A2	sept-22	0	0	0	0	0	0	0	0	0	4
S3	sep	A2	sept-22	5	0	2	2	0	1	3	0.013392857	0.053571429	2
S4	sep	A2	sept-22	4	1	0	2	1	0	3	0.013392857	0.040178571	3
S5	sep	A2	sept-22	5	0	0	2	0	0	2	0.008928571	0.044642857	1
S6	sep	A2	sept-22	0	0	0	0	0	0	0	0	0	2
S1	oct	A2	oct-22	0	1	0	0	1	0	1	0.004464286	0.004464286	2
S2	oct	A2	oct-22	0	0	2	0	0	1	1	0.004464286	0.008928571	6
S3	oct	A2	oct-22	4	0	4	2	0	2	4	0.017857143	0.071428571	0
S4	oct	A2	oct-22	3	0	0	1	0	0	1	0.004464286	0.013392857	4
S5	oct	A2	oct-22	17	0	4	3	0	2	5	0.022321429	0.263392857	2
S6	oct	A2	oct-22	0	0	0	0	0	0	0	0	0	4
S1	nov	A2	nov-22	0	0	0	0	0	0	0	0	0	4
S2	nov	A2	nov-22	0	1	0	0	1	0	1	0.004464286	0.004464286	7
S3	nov	A2	nov-22	4	1	1	2	1	1	4	0.017857143	0.044642857	1
S4	nov	A2	nov-22	0	1	0	0	1	0	1	0.004464286	0.004464286	4
S5	nov	A2	nov-22	2	3	0	1	2	0	3	0.013392857	0.035714286	0
S6	nov	A2	nov-22	0	0	0	0	0	0	0	0	0	4
S1	dec	A2	dic-22	2	1	0	1	1	0	2	0.008928571	0.013392857	4
S2	dec	A2	dic-22	0	0	0	0	0	0	0	0	0	5
S3	dec	A2	dic-22	4	1	1	2	1	1	4	0.017857143	0.044642857	0
S4	dec	A2	dic-22	0	0	0	0	0	0	0	0	0	1
S5	dec	A2	dic-22	8	1	0	3	1	0	4	0.017857143	0.111607143	0
S6	dec	A2	dic-22	7	0	0	3	0	0	3	0.013392857	0.09375	3
S1	jan	A2	ene-23	0	0	0	0	0	0	0	0	0	2
S2	jan	A2	ene-23	6	1	1	2	1	1	4	0.017857143	0.0625	3
S3	jan	A2	ene-23	5	2	1	2	1	1	4	0.017857143	0.058035714	2
S4	jan	A2	ene-23	0	0	0	0	0	0	0	0	0	3
S5	jan	A2	ene-23	8	2	1	3	1	1	5	0.022321429	0.120535714	0
S6	jan	A2	ene-23	9	0	2	3	0	1	4	0.017857143	0.129464286	3
