site	month	abund	people	boats	pets	algae	peopleC	boatsC	petsC	algaeC	peopleB	boatsB	petsB	algaeB	distindx
S6	aug	3.0	0	0	1	0	SP	SP	CP	SP	0	0	1	0	0.013157895
S1	sep	3.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S2	sep	3.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S3	sep	1.0	7	0	0	0	CP	SP	SP	SP	1	0	0	0	0.013157895
S4	sep	4.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S5	sep	0.8	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S6	sep	1.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S1	oct	3.0	2	0	0	0	CP	SP	SP	SP	1	0	0	0	0.013157895
S2	oct	4.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S3	oct	1.0	3	4	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S4	oct	3.0	0	1	0	0	SP	CP	SP	SP	0	1	0	0	0.013157895
S5	oct	2.3	19	0	6	0	CP	SP	CP	SP	1	0	1	0	0.026315789
S6	oct	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S1	nov	3.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S2	nov	5.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S3	nov	0.0	4	0	0	0	CP	SP	SP	SP	1	0	0	0	0.013157895
S4	nov	3.0	1	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S5	nov	0.8	12	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S6	nov	3.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S1	dec	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S2	dec	5.0	0	1	0	0	SP	CP	SP	SP	0	1	0	0	0.013157895
S3	dec	1.0	3	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S4	dec	4.0	4	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S5	dec	1.5	10	0	2	0	CP	SP	CP	SP	1	0	1	0	0.026315789
S6	dec	3.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S1	jan	2.0	2	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S2	jan	3.0	6	0	2	0	CP	SP	CP	SP	1	0	1	0	0.026315789
S3	jan	1.0	3	1	0	0	CP	CP	SP	SP	1	1	0	0	0.026315789
S4	jan	2.0	0	0	0	0	SP	SP	SP	SP	0	0	0	0	0
S5	jan	1.5	5	0	1	0	CP	SP	CP	SP	1	0	1	0	0.026315789
S6	jan	2.0	8	0	0	0	CP	SP	SP	SP	0	0	0	0	0
