site	month	year	mnthyr	people	boats	pets	abund	index_1	index_2
S5	Septiembre	A1	sept-21	0	0	0	1.0	0	0
S6	Septiembre	A1	sept-21	0	0	0	1.0	0	0
S1	Octubre	A1	oct-21	2	0	0	3.0	0.003012048	0.111111111
S2	Octubre	A1	oct-21	0	0	0	4.0	0	0
S3	Octubre	A1	oct-21	3	4	0	1.0	0.009036145	0.333333333
S4	Octubre	A1	oct-21	0	1	0	3.0	0.003012048	0.111111111
S5	Octubre	A1	oct-21	28	0	5	3.0	0.018072289	0.666666667
S6	Octubre	A1	oct-21	0	0	0	2.0	0	0
S1	Noviembre	A1	nov-21	0	0	0	3.0	0	0
S2	Noviembre	A1	nov-21	0	0	0	5.0	0	0
S3	Noviembre	A1	nov-21	4	0	0	0.0	0.003012048	0.111111111
S4	Noviembre	A1	nov-21	1	1	0	3.0	0.006024096	0.222222222
S5	Noviembre	A1	nov-21	12	1	0	1.0	0.012048193	0.444444444
S6	Noviembre	A1	nov-21	0	0	0	3.0	0	0
S1	Diciembre	A1	dic-21	0	0	0	2.0	0	0
S2	Diciembre	A1	dic-21	0	1	0	5.0	0.003012048	0.111111111
S3	Diciembre	A1	dic-21	3	0	0	1.0	0.003012048	0.111111111
S4	Diciembre	A1	dic-21	4	1	0	4.0	0.006024096	0.222222222
S5	Diciembre	A1	dic-21	10	0	2	2.0	0.009036145	0.333333333
S6	Diciembre	A1	dic-21	0	0	0	5.0	0	0
S1	Enero	A1	ene-22	2	1	0	2.0	0.006024096	0.222222222
S2	Enero	A1	ene-22	6	0	1	3.0	0.009036145	0.333333333
S3	Enero	A1	ene-22	3	2	0	1.0	0.006024096	0.222222222
S4	Enero	A1	ene-22	0	0	0	2.0	0	0
S5	Enero	A1	ene-22	5	0	1	2.0	0.006024096	0.222222222
S6	Enero	A1	ene-22	8	0	0	2.0	0.006024096	0.222222222
S1	Febrero	A2	feb-22	0	0	0	2.0	0	0
S2	Febrero	A2	feb-22	0	0	0	6.0	0	0
S3	Febrero	A2	feb-22	8	2	0	1.0	0.009036145	0.333333333
S4	Febrero	A2	feb-22	0	0	0	3.0	0	0
S5	Febrero	A2	feb-22	10	0	1	0.0	0.009036145	0.333333333
S6	Febrero	A2	feb-22	0	0	0	4.0	0	0
S1	Marzo 	A2	mar-22	0	0	0	3.0	0	0
S2	Marzo 	A2	mar-22	0	2	0	4.0	0.003012048	0.111111111
S3	Marzo 	A2	mar-22	4	0	0	1.0	0.003012048	0.111111111
S4	Marzo 	A2	mar-22	0	1	0	4.0	0.003012048	0.111111111
S5	Marzo 	A2	mar-22	4	1	0	1.0	0.006024096	0.222222222
S6	Marzo 	A2	mar-22	0	1	0	6.0	0.003012048	0.111111111
S1	Abril	A2	abr-22	0	0	0	2.0	0	0
S2	Abril	A2	abr-22	0	0	0	3.0	0	0
S3	Abril	A2	abr-22	1	0	1	4.0	0.006024096	0.222222222
S4	Abril	A2	abr-22	10	0	1	2.0	0.009036145	0.333333333
S5	Abril	A2	abr-22	0	0	0	1.0	0	0
S6	Abril	A2	abr-22	6	1	1	5.0	0.012048193	0.444444444
S1	Mayo 	A2	may-22	2	0	0	2.0	0.003012048	0.111111111
S2	Mayo 	A2	may-22	0	0	0	8.0	0	0
S3	Mayo 	A2	may-22	1	0	0	3.0	0.003012048	0.111111111
S4	Mayo 	A2	may-22	0	0	0	3.0	0	0
S5	Mayo 	A2	may-22	2	2	0	2.0	0.006024096	0.222222222
S6	Mayo 	A2	may-22	0	0	0	3.0	0	0
S1	Junio 	A2	jun-22	0	0	0	5.0	0	0
S2	Junio 	A2	jun-22	0	0	0	1.0	0	0
S3	Junio 	A2	jun-22	3	1	0	1.0	0.006024096	0.222222222
S4	Junio 	A2	jun-22	0	1	0	4.0	0.003012048	0.111111111
S5	Junio 	A2	jun-22	1	0	0	1.0	0.003012048	0.111111111
S6	Junio 	A2	jun-22	7	0	0	3.0	0.006024096	0.222222222
S1	Julio	A2	jul-22	0	0	0	3.0	0	0
S2	Julio	A2	jul-22	0	0	0	3.0	0	0
S3	Julio	A2	jul-22	1	0	0	1.0	0.003012048	0.111111111
S4	Julio	A2	jul-22	4	0	0	4.0	0.003012048	0.111111111
S5	Julio	A2	jul-22	2	0	0	2.0	0.003012048	0.111111111
S6	Julio	A2	jul-22	4	0	0	3.0	0.003012048	0.111111111
S1	Agosto	A2	ago-22	2	0	0	0.0	0.003012048	0.111111111
S2	Agosto	A2	ago-22	0	0	0	5.0	0	0
S3	Agosto	A2	ago-22	1	1	2	0.0	0.009036145	0.333333333
S4	Agosto	A2	ago-22	10	1	0	1.0	0.009036145	0.333333333
S5	Agosto	A2	ago-22	6	0	0	1.0	0.006024096	0.222222222
S6	Agosto	A2	ago-22	0	0	0	2.0	0	0
S1	Septiembre	A2	sept-22	0	0	0	1.0	0	0
S2	Septiembre	A2	sept-22	0	0	0	4.0	0	0
S3	Septiembre	A2	sept-22	5	0	2	2.0	0.006024096	0.222222222
S4	Septiembre	A2	sept-22	4	1	0	3.0	0.006024096	0.222222222
S5	Septiembre	A2	sept-22	5	0	0	1.0	0.003012048	0.111111111
S6	Septiembre	A2	sept-22	0	0	0	2.0	0	0
S1	Octubre	A2	oct-22	0	1	0	2.0	0.003012048	0.111111111
S2	Octubre	A2	oct-22	0	0	2	6.0	0.003012048	0.111111111
S3	Octubre	A2	oct-22	4	0	4	0.0	0.009036145	0.333333333
S4	Octubre	A2	oct-22	3	0	0	4.0	0.003012048	0.111111111
S5	Octubre	A2	oct-22	17	0	4	2.0	0.015060241	0.555555556
S6	Octubre	A2	oct-22	4	0	0	4.0	0.003012048	0.111111111
S1	Noviembre	A2	nov-22	0	1	0	4.0	0.003012048	0.111111111
S2	Noviembre	A2	nov-22	0	1	0	7.0	0.003012048	0.111111111
S3	Noviembre	A2	nov-22	5	1	1	1.0	0.009036145	0.333333333
S4	Noviembre	A2	nov-22	0	1	0	4.0	0.003012048	0.111111111
S5	Noviembre	A2	nov-22	2	3	0	0.0	0.009036145	0.333333333
S6	Noviembre	A2	nov-22	0	0	0	4.0	0	0
S1	Diciembre	A2	dic-22	2	1	0	4.0	0.006024096	0.222222222
S2	Diciembre	A2	dic-22	0	0	0	5.0	0	0
S3	Diciembre	A2	dic-22	4	1	1	0.0	0.009036145	0.333333333
S4	Diciembre	A2	dic-22	0	0	0	1.0	0	0
S5	Diciembre	A2	dic-22	8	1	0	0.0	0.009036145	0.333333333
S6	Diciembre	A2	dic-22	7	0	0	3.0	0.006024096	0.222222222
S1	Enero	A2	ene-23	0	0	0	2.0	0	0
S2	Enero	A2	ene-23	6	1	1	3.0	0.012048193	0.444444444
S3	Enero	A2	ene-23	5	2	1	2.0	0.009036145	0.333333333
S4	Enero	A2	ene-23	0	0	0	3.0	0	0
S5	Enero	A2	ene-23	8	2	1	0.0	0.012048193	0.444444444
S6	Enero	A2	ene-23	28	0	5	3.0	0.018072289	0.666666667
S1	Febrero	A3	feb-23	0	1	0	4.0	0.003012048	0.111111111
S2	Febrero	A3	feb-23	5	2	1	4.0	0.009036145	0.333333333
S3	Febrero	A3	feb-23	13	2	4	3.0	0.018072289	0.666666667
S4	Febrero	A3	feb-23	2	2	0	1.0	0.006024096	0.222222222
S5	Febrero	A3	feb-23	23	2	7	3.0	0.021084337	0.777777778
S6	Febrero	A3	feb-23	17	0	3	5.0	0.015060241	0.555555556
S1	Marzo 	A3	mar-23	0	2	0	1.0	0.003012048	0.111111111
S2	Marzo 	A3	mar-23	2	3	0	4.0	0.009036145	0.333333333
S3	Marzo 	A3	mar-23	1	2	0	2.0	0.006024096	0.222222222
S4	Marzo 	A3	mar-23	1	1	0	3.0	0.006024096	0.222222222
S5	Marzo 	A3	mar-23	6	1	0	1.0	0.009036145	0.333333333
S6	Marzo 	A3	mar-23	19	0	3	2.0	0.015060241	0.555555556
S1	Abril	A3	abr-23	0	1	0	4.0	0.003012048	0.111111111
S2	Abril	A3	abr-23	0	0	3	5.0	0.006024096	0.222222222
S3	Abril	A3	abr-23	3	0	1	1.0	0.006024096	0.222222222
S4	Abril	A3	abr-23	6	3	0	1.0	0.012048193	0.444444444
S5	Abril	A3	abr-23	8	0	0	0.0	0.006024096	0.222222222
S6	Abril	A3	abr-23	7	0	0	4.0	0.006024096	0.222222222
S1	Mayo 	A3	may-23	1	0	0	1.0	0.003012048	0.111111111
S2	Mayo 	A3	may-23	4	0	1	3.0	0.006024096	0.222222222
S3	Mayo 	A3	may-23	4	0	1	2.0	0.006024096	0.222222222
S4	Mayo 	A3	may-23	4	0	1	4.0	0.006024096	0.222222222
S5	Mayo 	A3	may-23	4	1	2	1.0	0.009036145	0.333333333
S6	Mayo 	A3	may-23	1	1	0	3.0	0.006024096	0.222222222
S1	Junio 	A3	jun-23	0	0	0	1.0	0	0
S2	Junio 	A3	jun-23	4	0	0	3.0	0.003012048	0.111111111
S3	Junio 	A3	jun-23	1	0	1	2.0	0.006024096	0.222222222
S4	Junio 	A3	jun-23	0	0	0	2.0	0	0
S5	Junio 	A3	jun-23	8	1	0	1.0	0.009036145	0.333333333
S6	Junio 	A3	jun-23	5	0	0	4.0	0.003012048	0.111111111
S1	Julio	A3	jul-23	2	1	0	1.0	0.006024096	0.222222222
S2	Julio	A3	jul-23	0	1	0	6.0	0.003012048	0.111111111
S3	Julio	A3	jul-23	0	0	0	1.0	0	0
S4	Julio	A3	jul-23	0	0	0	3.0	0	0
S5	Julio	A3	jul-23	5	0	0	5.0	0.003012048	0.111111111
S6	Julio	A3	jul-23	2	0	0	2.0	0.003012048	0.111111111
S1	Agosto	A3	ago-23	2	1	0	2.0	0.006024096	0.222222222
S2	Agosto	A3	ago-23	0	0	0	3.0	0	0
S3	Agosto	A3	ago-23	6	1	0	0.0	0.009036145	0.333333333
S4	Agosto	A3	ago-23	0	0	0	2.0	0	0
S5	Agosto	A3	ago-23	1	4	0	3.0	0.009036145	0.333333333
S6	Agosto	A3	ago-23	4	0	0	4.0	0.003012048	0.111111111
S1	Septiembre	A3	sept-23	0	0	0	3.0	0	0
S2	Septiembre	A3	sept-23	2	0	0	1.0	0.003012048	0.111111111
S3	Septiembre	A3	sept-23	0	1	2	3.0	0.006024096	0.222222222
S4	Septiembre	A3	sept-23	0	0	0	3.0	0	0
S5	Septiembre	A3	sept-23	26	1	0	0.0	0.012048193	0.444444444
S6	Septiembre	A3	sept-23	12	0	2	2.0	0.012048193	0.444444444
S1	Octubre	A3	oct-23	5	0	0	3.0	0.003012048	0.111111111
S2	Octubre	A3	oct-23	5	0	0	3.0	0.003012048	0.111111111
S3	Octubre	A3	oct-23	7	1	0	2.0	0.009036145	0.333333333
S4	Octubre	A3	oct-23	0	1	0	5.0	0.003012048	0.111111111
S5	Octubre	A3	oct-23	5	1	0	1.0	0.006024096	0.222222222
S6	Octubre	A3	oct-23	4	0	0	4.0	0.003012048	0.111111111
S1	Noviembre	A3	nov-23	1	0	0	1.0	0.003012048	0.111111111
S2	Noviembre	A3	nov-23	0	1	0	4.0	0.003012048	0.111111111
S3	Noviembre	A3	nov-23	8	2	0	1.0	0.009036145	0.333333333
S4	Noviembre	A3	nov-23	0	3	0	3.0	0.006024096	0.222222222
S5	Noviembre	A3	nov-23	9	4	0	2.0	0.012048193	0.444444444
S6	Noviembre	A3	nov-23	2	0	0	2.0	0.003012048	0.111111111
S1	Diciembre	A3	dic-23	0	0	0	1.0	0	0
S2	Diciembre	A3	dic-23	0	0	0	4.0	0	0
S3	Diciembre	A3	dic-23	3	0	2	0.0	0.006024096	0.222222222
S4	Diciembre	A3	dic-23	0	1	0	2.0	0.003012048	0.111111111
S5	Diciembre	A3	dic-23	11	0	0	0.0	0.009036145	0.333333333
S6	Diciembre	A3	dic-23	0	0	0	4.0	0	0
S1	Enero	A3	ene-24	0	1	0	1.0	0.003012048	0.111111111
S2	Enero	A3	ene-24	4	1	0	1.0	0.006024096	0.222222222
S3	Enero	A3	ene-24	2	0	0	1.0	0.003012048	0.111111111
S4	Enero	A3	ene-24	0	2	0	4.0	0.003012048	0.111111111
S5	Enero	A3	ene-24	7	0	6	1.0	0.015060241	0.555555556
S6	Enero	A3	ene-24	50	0	3	2.0	0.015060241	0.555555556
